Kind,Name,File,CountLineCode,Cyclomatic,SumCyclomatic
Public Function,"BoostRegexSearch::EncodingDependent::EncodingDependent",BoostRegExSearch.cxx,1,1,
Public Function,"BoostRegexSearch::EncodingDependent::FindText",BoostRegExSearch.cxx,7,2,
Private Function,"BoostRegexSearch::EncodingDependent::FindTextBackward",BoostRegExSearch.cxx,27,5,
Private Function,"BoostRegexSearch::EncodingDependent::FindTextForward",BoostRegExSearch.cxx,27,6,
Public Function,"BoostRegexSearch::EncodingDependent::SubstituteByPosition",BoostRegExSearch.cxx,5,1,
Public Function,"BoostRegexSearch::EncodingDependent::compileRegex",BoostRegExSearch.cxx,9,2,
Public Virtual Function,"BoostRegexSearch::FindText",BoostRegExSearch.cxx,62,9,
Private Class,"BoostRegexSearch::Match",BoostRegExSearch.cxx,94,,33
Public Function,"BoostRegexSearch::Match::Match",BoostRegExSearch.cxx,1,1,
Public Function,"BoostRegexSearch::Match::Match",BoostRegExSearch.cxx,1,1,
Private Virtual Function,"BoostRegexSearch::Match::NotifyDeleted",BoostRegExSearch.cxx,8,2,
Private Virtual Function,"BoostRegexSearch::Match::NotifyErrorOccurred",BoostRegExSearch.cxx,1,1,
Private Virtual Function,"BoostRegexSearch::Match::NotifyLexerChanged",BoostRegExSearch.cxx,1,1,
Private Virtual Function,"BoostRegexSearch::Match::NotifyModified",BoostRegExSearch.cxx,20,7,
Private Virtual Function,"BoostRegexSearch::Match::NotifyModifyAttempt",BoostRegExSearch.cxx,1,1,
Private Virtual Function,"BoostRegexSearch::Match::NotifySavePoint",BoostRegExSearch.cxx,1,1,
Private Virtual Function,"BoostRegexSearch::Match::NotifyStyleNeeded",BoostRegExSearch.cxx,1,1,
Public Function,"BoostRegexSearch::Match::endPosition",BoostRegExSearch.cxx,3,1,
Public Function,"BoostRegexSearch::Match::found",BoostRegExSearch.cxx,3,1,
Private Function,"BoostRegexSearch::Match::hasDocumentChanged",BoostRegExSearch.cxx,3,1,
Public Function,"BoostRegexSearch::Match::isContinuationSearch",BoostRegExSearch.cxx,8,3,
Public Function,"BoostRegexSearch::Match::isEmpty",BoostRegExSearch.cxx,3,1,
Public Function,"BoostRegexSearch::Match::length",BoostRegExSearch.cxx,3,1,
Public Function,"BoostRegexSearch::Match::operator=",BoostRegExSearch.cxx,4,1,
Public Function,"BoostRegexSearch::Match::operator=",BoostRegExSearch.cxx,4,1,
Public Function,"BoostRegexSearch::Match::position",BoostRegExSearch.cxx,3,1,
Public Function,"BoostRegexSearch::Match::set",BoostRegExSearch.cxx,6,1,
Private Function,"BoostRegexSearch::Match::setDocument",BoostRegExSearch.cxx,10,4,
Public Virtual Function,"BoostRegexSearch::Match::~Match",BoostRegExSearch.cxx,1,1,
Private Class,"BoostRegexSearch::SearchParameters",BoostRegExSearch.cxx,35,,4
Public Function,"BoostRegexSearch::SearchParameters::isLineEnd",BoostRegExSearch.cxx,6,1,
Public Function,"BoostRegexSearch::SearchParameters::isLineStart",BoostRegExSearch.cxx,6,1,
Public Function,"BoostRegexSearch::SearchParameters::nextCharacter",BoostRegExSearch.cxx,7,2,
Public Virtual Function,"BoostRegexSearch::SubstituteByPosition",BoostRegExSearch.cxx,7,2,
Private Static Function,"BoostRegexSearch::stringToCharPtr",BoostRegExSearch.cxx,6,1,
Private Static Function,"BoostRegexSearch::stringToCharPtr",BoostRegExSearch.cxx,4,1,
Private Static Function,"BoostRegexSearch::utf8ToWchar",BoostRegExSearch.cxx,9,1,
Private Static Function,"BoostRegexSearch::wcharToUtf8",BoostRegExSearch.cxx,9,1,
Public Virtual Function,"BoostRegexSearch::~BoostRegexSearch",BoostRegExSearch.cxx,5,1,
Static Function,"BoundsContains",ScintillaWin.cxx,23,7,
Static Function,"BraceOpposite",Document.cxx,22,9,
Struct,"BracketPair",LexCPP.cxx,4,,0
Class,"BreakFinder",PositionCache.h,135,,34
Public Function,"BreakFinder::BreakFinder",PositionCache.cxx,46,13,
Private Function,"BreakFinder::Insert",PositionCache.cxx,10,4,
Public Const Function,"BreakFinder::More",PositionCache.cxx,3,1,
Public Function,"BreakFinder::Next",PositionCache.cxx,51,15,
Public Function,"BreakFinder::~BreakFinder",PositionCache.cxx,2,1,
Static Function,"BrowseCallbackProc",Common.cpp,6,2,
File,"Buffer.cpp",Buffer.cpp,1093,,211
File,"Buffer.h",Buffer.h,275,,51
Public Function,"Buffer::Buffer",Buffer.cpp,18,2,
Public Function,"Buffer::addReference",Buffer.cpp,10,2,
Public Function,"Buffer::checkFileState",Buffer.cpp,70,13,
Public Function,"Buffer::doNotify",Buffer.cpp,8,2,
Public Const Function,"Buffer::getCurrentLang",Buffer.cpp,15,3,
Public Const Function,"Buffer::getFileLength",Buffer.cpp,14,3,
Public Const Function,"Buffer::getFileTime",Buffer.cpp,36,5,
Public Const Function,"Buffer::getHeaderLineState",Buffer.cpp,5,1,
Public Function,"Buffer::getPosition",Buffer.cpp,5,1,
Public Const Function,"Buffer::indexOfReference",Buffer.cpp,10,3,
Public Function,"Buffer::reload",Buffer.cpp,10,2,
Public Function,"Buffer::removeReference",Buffer.cpp,11,2,
Public Function,"Buffer::setDeferredReload",Buffer.cpp,6,1,
Public Function,"Buffer::setDirty",Buffer.cpp,5,1,
Public Function,"Buffer::setEncoding",Buffer.cpp,5,1,
Public Function,"Buffer::setFileName",Buffer.cpp,48,10,
Public Function,"Buffer::setHeaderLineState",Buffer.cpp,11,3,
Public Function,"Buffer::setHideLineChanged",Buffer.cpp,10,4,
Public Function,"Buffer::setLangType",Buffer.cpp,10,3,
Public Function,"Buffer::setPosition",Buffer.cpp,7,2,
Public Function,"Buffer::setUnicodeMode",Buffer.cpp,5,1,
Public Function,"Buffer::updateTimeStamp",Buffer.cpp,14,3,
Struct,"BufferEquivalent",WindowsDlg.cpp,45,,10
Public Function,"BufferEquivalent::BufferEquivalent",WindowsDlg.cpp,3,1,
Public Const Function,"BufferEquivalent::compare",WindowsDlg.cpp,29,6,
Public Const Function,"BufferEquivalent::operator()",WindowsDlg.cpp,6,3,
Function,"BuildMenuFileName",Common.cpp,41,6,
Class,"BuiltinRegex",Document.cxx,129,,33
Explicit Public Function,"BuiltinRegex::BuiltinRegex",Document.cxx,1,1,
Public Virtual Function,"BuiltinRegex::FindText",Document.cxx,65,18,
Public Virtual Function,"BuiltinRegex::SubstituteByPosition",Document.cxx,51,13,
Public Virtual Function,"BuiltinRegex::~BuiltinRegex",Document.cxx,2,1,
Class,"ButtonDlg",lesDlgs.h,75,,18
Public Function,"ButtonDlg::ButtonDlg",lesDlgs.h,1,1,
Public Virtual Function,"ButtonDlg::destroy",lesDlgs.h,1,1,
Public Virtual Const Function,"ButtonDlg::display",lesDlgs.h,8,4,
Public Function,"ButtonDlg::doDialog",lesDlgs.cpp,6,2,
Public Const Function,"ButtonDlg::getButtonStatus",lesDlgs.h,3,1,
Public Virtual Function,"ButtonDlg::init",lesDlgs.h,3,1,
Protected Virtual Function,"ButtonDlg::run_dlgProc",lesDlgs.cpp,42,7,
Public Function,"ButtonDlg::setButtonStatus",lesDlgs.h,3,1,
Static Function,"ButtonPress",PlatGTK.cxx,11,3,
Class,"ByteArray",clipboardHistoryPanel.h,30,,8
Explicit Public Function,"ByteArray::ByteArray",clipboardHistoryPanel.cpp,14,3,
Public Function,"ByteArray::ByteArray",clipboardHistoryPanel.h,1,1,
Public Const Function,"ByteArray::getLength",clipboardHistoryPanel.h,1,1,
Public Const Function,"ByteArray::getPointer",clipboardHistoryPanel.h,1,1,
Public Function,"ByteArray::~ByteArray",clipboardHistoryPanel.h,6,2,
